Sate,Active Cases,Cured,Deaths
Andaman and Nicobar Islands,777,2092,35
Andhra Pradesh,89516,268828,3368
Arunachal Pradesh,880,2427,5
Assam,19277,73090,252
Bihar,21392,101292,514
Chandigarh,1352,1646,37
Chhattisgarh,8424,13424,206
Dadra and Nagar Haveli and Daman and Diu,393,1786,2
Delhi,11626,146588,4313
Goa,3081,10909,148
Gujarat,14552,70231,2908
Haryana,9442,45405,613
Himachal Pradesh,1488,3584,29
Jammu and Kashmir,7246,25205,624
Jharkhand,9805,20870,330
Karnataka,81230,197625,4810
Kerala,20387,38883,234
Ladakh,790,1517,23
Madhya Pradesh,11944,41231,1246
Maharashtra,168443,502490,22465
Manipur,1626,3714,22
Meghalaya,1179,789,8
Mizoram,492,461,0
Nagaland,1309,2396,9
Odisha,24135,56925,419
Puducherry,3753,6942,164
Punjab,13798,28357,1129
Rajasthan,14388,56600,967
Sikkim,509,934,3
Tamil Nadu,53282,325456,6614
Telengana,23737,84163,770
Tripura,2703,6414,78
Uttarakhand,4410,10912,207
Uttar Pradesh,49288,140107,2987
West Bengal,27694,111292,2851
