State,Poverty,Income
Goa,34,1
Kerala,33,7
Himachal Pradesh,32,12
Sikkim,31,2
Punjab,30,11
Andhra Pradesh ,29,11
Jammu and Kashmir and Ladakh,25,19
Haryana,24,3
Uttarakhand,23,5
Tamil Nadu,22,7
Meghalaya,21,17
Tripura,20,11
Rajasthan,19,11
Gujarat,18,5
Maharashtra,17,6
Nagaland,16,8
West Bengal,15,8
Mizoram,14,7
Karnataka,13,3
Uttar Pradesh,10,12
Madhya Pradesh,9,8
Assam,8,8
Odisha,7,7
Bihar,6,9
Arunachal Pradesh,5,5
Manipur,4,7
Jharkhand,3,6
Chhattisgarh,1,5
Andaman and Nicobar Islands,7,4
Puducherry,5,3
Delhi,3,1
Chandigarh,2,1
